# Value|Frequency
11040+270+PARK|4896
11042+HYDE+LAKEVILLE|2868
E+MAIN+SHORE|6364
11901+AVE+RIVERHEAD|2599
10075+E+NY|11284
10075+E+ST|11275
05+AVE+HYDE|4900
BROADWAY+NY+SLEEPY|2894
10549+E+NY|2535
10549+E+ST|2533
11004+263RD+OAKS|2461
05+HYDE+PARK|4929
MARCUS+NEW+PARK|4865
11042+AVE+MARCUS|5706
11803+OLD+RD|4838
JERICHO+SYOSSET+TURNPIKE|2109
COUNTRY+PLAINVIEW+RD|4835
11040+26901+NEW|3834
11040+270+NEW|4897
10201+11375+66TH|2258
26901+AVE+NEW|3833
100+77TH+NEW|9896
NEW+NORTH+PARK|5406
10021+NEW+YORK|3088
10201+HILLS+NY|2257
10201+HILLS+RD|2257
10075+E+YORK|11278
888+NY+PLAINVIEW|3969
221+NY+TURNPIKE|2030
11042+NEW+PARK|9532
100+E+YORK|10209
1300+AVE+ROANOKE|2362
10591+HOLLOW+N|2960
400+E+KISCO|2482
10305+475+ISLAND|7969
NY+ST+YORK|22865
11743+AVE+NY|5783
11743+270+AVE|5506
10549+E+MOUNT|2288
11040+26901+HYDE|3834
10065+NY+YORK|3578
888+OLD+PLAINVIEW|3969
ISLAND+SEAVIEW+STATEN|8901
11743+HUNTINGTON+NY|6704
475+AVE+STATEN|7998
COUNTRY+OLD+PLAINVIEW|4835
11580+900+NY|4277
10201+NY+RD|2258
475+AVE+SEAVIEW|7992
10591+BROADWAY+SLEEPY|2891
10591+701+HOLLOW|2345
LN+NY+ST|2077
5051+NEW+POBOX|4519
11580+900+AVE|4275
77TH+E+NEW|11198
301+E+NY|6809
10087+NEW+NY|4247
11030+300+MANHASSET|14024
301+E+ST|6799
DR+GREAT+NECK|2627
301+E+MAIN|6641
GLEN+LN+NY|3739
27005+NY+PARK|9057
GLEN+LN+ST|2074
10075+NY+YORK|11512
10065+NEW+YORK|3577
05+270+NEW|4931
LAKEVILLE+NEW+NY|3344
11020+DR+NY|2302
LAKEVILLE+NEW+RD|3340
5051+NEW+NY|4519
11542+COVE+LN|3723
11542+COVE+NY|4698
11542+COVE+ST|2282
11040+NEW+NY|18131
11042+LAKEVILLE+NEW|2868
FRANKLIN+NY+VALLEY|4348
270+NEW+NY|4979
301+BAY+E|5433
11743+270+NY|5508
05+11040+NEW|4872
10201+11375+FOREST|2257
76TH+AVE+HYDE|17179
AVE+FRANKLIN+VALLEY|4345
MAIN+MOUNT+NY|2451
200+NECK+NY|2046
77TH+NY+ST|11260
MAIN+MOUNT+ST|2451
888+NY+RD|3972
ANDREWS+LN+NY|2516
MARCUS+NORTH+PARK|3293
11040+HYDE+PARK|18117
10021+E+NEW|2517
05+11040+NY|4876
11706+E+MAIN|7646
26901+HYDE+PARK|3833
11042+HYDE+MARCUS|4741
10021+NY+ST|2526
HYDE+MARCUS+NORTH|3293
26901+AVE+NY|3833
E+NY+STE|2481
NEW+W+YORK|2967
263RD+OAKS+ST|2473
11040+26901+AVE|3833
11040+270+AVE|4875
AVE+MARCUS+PARK|4860
11580+AVE+NY|4448
10087+5051+NY|4205
11020+COMMUNITY+DR|2300
COUNTRY+NY+OLD|5247
11020+COMMUNITY+NY|2300
11040+27005+NEW|9056
11791+JERICHO+SYOSSET|3760
77TH+ST+YORK|11210
10305+NY+SEAVIEW|8853
11530+GARDEN+NY|2148
05+76TH+HYDE|4871
400+MAIN+NY|2640
10305+AVE+ISLAND|10067
400+MAIN+ST|2640
26901+76TH+NY|3834
11901+AVE+ROANOKE|2549
27005+HYDE+NY|9057
NY+STE+YORK|3700
263RD+NY+OAKS|2479
5051+NY+YORK|4519
HYDE+NY+RD|3690
11901+NY+RIVERHEAD|2957
10549+MOUNT+NY|3107
10549+MOUNT+ST|2448
11706+BAY+E|6361
11042+MARCUS+NEW|4741
301+SHORE+ST|5438
HYDE+NEW+PARK|28745
1300+RIVERHEAD+ROANOKE|2385
10591+701+BROADWAY|2387
11803+COUNTRY+NY|4838
11803+COUNTRY+RD|4837
OLD+PLAINVIEW+RD|4836
AVE+NORTH+NY|3382
11040+AVE+NEW|17372
11791+221+SYOSSET|3612
11542+ANDREWS+LN|2508
11542+ANDREWS+NY|2512
11042+MARCUS+NY|5710
E+NY+SHORE|6634
11803+888+NY|3970
11040+AVE+HYDE|17369
11803+888+RD|3970
900+NY+VALLEY|4277
05+270+HYDE|4925
301+BAY+SHORE|5439
263RD+GLEN+OAKS|2476
ISLAND+NY+SEAVIEW|8900
GLEN+OAKS+ST|2498
ST+W+YORK|2678
10549+400+NY|2572
10549+400+ST|2571
05+11040+270|4871
05+270+AVE|4912
COVE+LN+NY|3732
11542+NY+ST|2282
11803+NY+PLAINVIEW|5077
COVE+LN+ST|2074
263RD+GLEN+NY|2476
263RD+GLEN+ST|2470
E+NEW+YORK|19934
GLEN+NY+OAKS|3096
AVE+ISLAND+STATEN|12694
AVE+NY+VALLEY|4493
10549+NY+ST|2743
11042+NY+PARK|9532
10305+AVE+NY|10067
701+BROADWAY+NY|2394
900+FRANKLIN+NY|4276
10549+E+KISCO|2535
AVE+NY+RIVERHEAD|2601
05+11040+AVE|4849
05+11040+HYDE|4870
11791+NY+TURNPIKE|2114
11901+RIVERHEAD+ROANOKE|2571
10065+E+YORK|2735
26901+76TH+HYDE|3834
11706+301+NY|6635
10549+KISCO+MAIN|2739
200+GREAT+NY|2047
475+AVE+ISLAND|7999
HYDE+MARCUS+NY|4864
11706+301+ST|6633
COMMUNITY+DR+NY|19719
AVE+HUNTINGTON+NY|5803
888+COUNTRY+OLD|3969
11580+AVE+STREAM|4446
701+HOLLOW+SLEEPY|2304
11743+HUNTINGTON+PARK|5678
100+77TH+E+NY|8392
11021+BLVD+NORTHERN+NY|3318
100+77TH+E+ST|8386
11040+26901+AVE+HYDE|2813
11042+AVE+HYDE+MARCUS|4571
11020+200+DR+NY|2149
100+10075+77TH+NEW|7988
E+KISCO+MAIN+MOUNT|2132
11004+NY+OAKS+ST|2341
DR+GREAT+NECK+NY|2411
LAKEVILLE+NEW+PARK+RD|3049
270+76TH+NY+PARK|4222
11706+301+BAY+E|4856
400+KISCO+MAIN+NY|2328
11040+27005+76TH+NY|7852
11040+76TH+AVE+NY|15303
400+KISCO+MAIN+ST|2328
10021+E+ST+YORK|2386
11042+AVE+HYDE+NORTH|3293
11021+BLVD+GREAT+NY|3327
10549+E+MAIN+MOUNT|2130
27005+HYDE+NEW+NY|7854
27005+76TH+NEW+PARK|7853
E+MAIN+NY+ST|9344
27005+AVE+NEW+PARK|7854
AVE+NEW+NY+YORK|7536
400+MAIN+NY+ST|2372
E+MAIN+MOUNT+NY|2132
221+JERICHO+NY+SYOSSET|2315
E+MAIN+MOUNT+ST|2132
11040+26901+HYDE+NY|2814
11580+900+FRANKLIN+NY|3052
301+E+MAIN+NY|5296
05+11040+AVE+NY|4186
301+E+MAIN+ST|5294
11803+888+OLD+RD|2684
26901+76TH+AVE+HYDE|2813
301+MAIN+SHORE+ST|4865
270+NEW+NY+PARK|4292
27005+AVE+HYDE+NY|7854
BAY+E+NY+SHORE|5612
27005+76TH+NEW+NY|7853
400+E+NY+ST|2290
11040+26901+HYDE+PARK|2813
05+270+HYDE+PARK|4254
27005+AVE+NEW+NY|7854
26901+HYDE+NEW+PARK|2813
AVE+NEW+NY+PARK|21125
11040+270+76TH+NY|4175
11743+270+HUNTINGTON+PARK|4243
11004+GLEN+NY+ST|2340
11040+270+AVE+HYDE|4205
11042+AVE+MARCUS+NORTH|3293
05+11040+270+NY|4208
HYDE+MARCUS+NEW+PARK|4688
11042+AVE+HYDE+NEW|4633
10591+HOLLOW+NY+SLEEPY|2770
10065+NEW+NY+ST|2500
NEW+NY+ST+W|2583
10065+E+ST+YORK|2494
400+MOUNT+NY+ST|2168
ANDREWS+GLEN+LN+NY|2091
10549+400+KISCO+MOUNT|2167
11040+AVE+NEW+NY|15556
300+DR+MANHASSET+NY|12565
101+ANDREWS+LN+NY|2090
400+KISCO+MOUNT+NY|2168
11375+66TH+FOREST+HILLS|3215
400+KISCO+MOUNT+ST|2168
AVE+HUNTINGTON+NY+PARK|4410
888+COUNTRY+NY+PLAINVIEW|2681
10549+400+E+MOUNT|2081
11375+66TH+FOREST+NY|3215
11375+66TH+FOREST+RD|3209
11040+76TH+AVE+PARK|15296
101+11542+COVE+LN|2450
101+11542+COVE+NY|2462
270+76TH+HYDE+NY|4221
11580+AVE+FRANKLIN+STREAM|3116
MAIN+NY+SHORE+ST|5625
11042+HYDE+LAKEVILLE+NY|2616
11042+HYDE+LAKEVILLE+RD|2614
100+77TH+NEW+NY|8389
10591+N+NY+SLEEPY|2721
900+AVE+FRANKLIN+NY|3054
100+77TH+NEW+ST|8383
MARCUS+NEW+NORTH+NY|3293
10591+HOLLOW+N+SLEEPY|2718
11580+FRANKLIN+NY+VALLEY|3115
11040+76TH+HYDE+NEW|15326
10065+E+NY+ST|2494
10305+475+NY+SEAVIEW|7150
05+270+NY+PARK|4256
11042+MARCUS+NEW+NY|4575
11803+COUNTRY+NY+PLAINVIEW|3405
11030+300+COMMUNITY+MANHASSET|12538
10305+AVE+NY+SEAVIEW|7980
10305+475+AVE+ISLAND|7149
10591+HOLLOW+N+NY|2778
26901+HYDE+NY+PARK|2813
26901+NEW+NY+PARK|2813
10305+AVE+ISLAND+SEAVIEW|7980
AVE+NY+STREAM+VALLEY|3233
BAY+NY+SHORE+ST|5630
10075+NEW+ST+YORK|9685
100+10075+E+YORK|8216
AVE+HYDE+NEW+PARK|19997
11042+AVE+HYDE+PARK|4633
10087+NEW+POBOX+YORK|3781
888+COUNTRY+OLD+RD|2683
AVE+FRANKLIN+STREAM+VALLEY|3117
100+E+NEW+NY|8636
NEW+NY+PARK+RD|3385
100+E+NEW+ST|8626
AVE+ISLAND+NY+STATEN|11745
05+270+AVE+HYDE|4228
GREAT+NECK+NORTHERN+NY|3358
11042+AVE+NEW+NY|4633
10075+E+NY+ST|9685
701+BROADWAY+N+NY|2213
11042+MARCUS+NEW+PARK|4575
701+BROADWAY+NY+SLEEPY|2121
10549+400+MOUNT+NY|2167
100+NEW+NY+YORK|8660
10549+400+MOUNT+ST|2167
FRANKLIN+NY+STREAM+VALLEY|3120
COMMUNITY+GREAT+NECK+NY|2371
10549+MOUNT+NY+ST|2288
10549+KISCO+MAIN+MOUNT|2288
270+AVE+HYDE+NEW|4260
11042+AVE+NY+PARK|4633
701+BROADWAY+HOLLOW+N|2163
27005+76TH+AVE+NEW|7853
11040+270+AVE+NY|4212
11040+AVE+NY+PARK|15553
27005+NEW+NY+PARK|7854
05+11040+HYDE+PARK|4205
10087+5051+NEW+NY|3740
FOREST+HILLS+NY+RD|3388
NEW+ST+W+YORK|2583
11743+AVE+NY+PARK|4405
11580+900+NY+VALLEY|3054
11042+AVE+NEW+NORTH|3293
11901+AVE+RIVERHEAD+ROANOKE|2062
10591+701+BROADWAY+HOLLOW|2161
11042+AVE+NORTH+PARK|3293
11706+301+E+MAIN|5282
77TH+NEW+NY+YORK|9692
10087+NY+POBOX+YORK|3781
270+AVE+NEW+NY|4273
AVE+HYDE+MARCUS+PARK|4683
05+270+HYDE+NY|4255
270+76TH+AVE+HYDE|4195
100+77TH+NEW+YORK|8388
E+NEW+NY+ST|17902
11042+HYDE+MARCUS+PARK|4575
76TH+AVE+HYDE+NEW|15366
10305+AVE+SEAVIEW+STATEN|7980
26901+AVE+NEW+PARK|2813
400+MAIN+MOUNT+NY|2168
400+MAIN+MOUNT+ST|2168
11042+HYDE+NY+PARK|9056
11706+MAIN+SHORE+ST|5616
76TH+HYDE+NEW+PARK|15396
11580+AVE+FRANKLIN+NY|3116
11580+900+AVE+NY|3054
11021+GREAT+NECK+NY|4538
11580+AVE+NY+VALLEY|3215
270+HYDE+NEW+PARK|4288
ANDREWS+COVE+LN+NY|2091
11040+26901+76TH+HYDE|2814
05+270+76TH+HYDE|4199
11542+COVE+GLEN+LN|2458
11542+COVE+GLEN+NY|3295
11580+900+FRANKLIN+VALLEY|3050
11042+HYDE+NEW+NY|9060
11042+HYDE+NEW+RD|2879
11040+26901+AVE+NY|2813
11040+HYDE+NEW+NY|16300
888+NY+OLD+RD|2685
26901+AVE+HYDE+PARK|2813
05+11040+NEW+NY|4208
11542+ANDREWS+GLEN+LN|2083
11542+ANDREWS+GLEN+NY|2088
101+ANDREWS+COVE+LN|2089
101+ANDREWS+COVE+NY|2094
10075+NY+ST+YORK|9685
301+BAY+NY+ST|4868
77TH+E+NY+YORK|9669
11803+NY+PLAINVIEW+RD|3580
10305+475+AVE+SEAVIEW|7143
11042+AVE+NEW+PARK|4633
11042+AVE+HYDE+NY|4633
101+11542+ANDREWS+GLEN|2087
475+ISLAND+NY+SEAVIEW|7181
11040+AVE+HYDE+NY|15553
11803+888+COUNTRY+NY|2682
11706+E+NY+SHORE|5603
11803+888+COUNTRY+RD|2682
10549+E+NY+ST|2287
11040+76TH+NEW+NY|15328
100+77TH+ST+YORK|8382
HYDE+LAKEVILLE+NY+PARK|3052
27005+76TH+AVE+HYDE|7853
11004+263RD+OAKS+ST|2316
101+11542+ANDREWS+LN|2083
101+11542+ANDREWS+NY|2087
11803+888+COUNTRY+PLAINVIEW|2681
HYDE+LAKEVILLE+NEW+PARK|3052
270+HUNTINGTON+NY+PARK|4250
10591+701+HOLLOW+SLEEPY|2132
E+MAIN+NY+SHORE|5606
11042+LAKEVILLE+NEW+PARK|2613
100+NEW+NY+ST|8632
05+11040+NY+PARK|4206
100+E+ST+YORK|8625
11042+HYDE+PARK+RD|2876
10075+77TH+E+NEW|9165
HYDE+MARCUS+NEW+NY|4688
10591+701+BROADWAY+N|2211
475+AVE+ISLAND+STATEN|7181
10305+475+ISLAND+NY|7156
900+FRANKLIN+NY+VALLEY|3053
10549+E+KISCO+NY|2289
10549+400+E+KISCO|2233
10549+E+KISCO+ST|2287
LAKEVILLE+NY+PARK+RD|3052
27005+HYDE+NEW+PARK|7854
101+GLEN+LN+NY|2457
11706+BAY+SHORE+ST|5621
05+76TH+HYDE+NEW|4203
11803+COUNTRY+NY+RD|3406
400+KISCO+MAIN+MOUNT|2168
05+11040+76TH+HYDE|4152
11803+888+NY+PLAINVIEW|2683
BAY+MAIN+NY+SHORE|5626
11030+300+DR+NY|12567
888+OLD+PLAINVIEW+RD|2683
COMMUNITY+DR+NECK+NY|2371
701+BROADWAY+HOLLOW+SLEEPY|2120
10065+NEW+NY+YORK|3343
GREAT+NECK+NY+STE|2252
270+HYDE+NY+PARK|4288
E+NEW+ST+YORK|17899
11042+NEW+NORTH+PARK|5399
400+E+MOUNT+NY|2083
263RD+NY+OAKS+ST|2333
400+E+MOUNT+ST|2082
11706+301+BAY+MAIN|4858
05+76TH+AVE+PARK|4177
10075+77TH+NY+ST|9170
400+E+MAIN+NY|2236
AVE+MARCUS+NEW+NY|4684
400+E+MAIN+ST|2236
11042+MARCUS+NORTH+PARK|3293
HYDE+LAKEVILLE+PARK+RD|3049
11040+76TH+NEW+PARK|15325
AVE+HYDE+NORTH+PARK|3293
11042+AVE+MARCUS+PARK|4571
11004+263RD+NY+OAKS|2322
11021+BLVD+GREAT+NECK|3327
11042+NORTH+NY+PARK|5399
270+AVE+HUNTINGTON+PARK|4249
11042+HYDE+MARCUS+NORTH|3293
76TH+HYDE+NY+PARK|15396
301+MAIN+NY+ST|5307
11706+301+MAIN+SHORE|4858
26901+76TH+AVE+NEW|2813
270+AVE+NEW+PARK|4263
11030+COMMUNITY+MANHASSET+NY|15268
101+11542+ANDREWS+COVE|2087
11004+263RD+GLEN+NY|2321
11004+263RD+GLEN+ST|2315
AVE+HYDE+NY+PARK|19997
05+11040+HYDE+NY|4206
475+AVE+NY+SEAVIEW|7174
05+11040+270+76TH|4154
11042+NEW+NORTH+NY|5399
301+E+SHORE+ST|4863
5051+NEW+POBOX+YORK|4024
10305+475+NY+STATEN|7156
263RD+GLEN+NY+ST|2330
100+E+NY+ST|8643
10021+NEW+NY+YORK|2961
BAY+E+NY+ST|5609
HYDE+LAKEVILLE+NEW+NY|3057
HYDE+LAKEVILLE+NEW+RD|3054
76TH+AVE+NEW+NY|15374
11040+270+NEW+NY|4233
10075+77TH+NY+YORK|9168
10591+701+BROADWAY+SLEEPY|2120
11042+NEW+NY+PARK|9056
11004+GLEN+OAKS+ST|2339
11004+263RD+GLEN+OAKS|2320
76TH+AVE+NEW+PARK|15366
11040+NEW+NY+PARK|16291
10591+701+N+SLEEPY|2132
76TH+AVE+HYDE+PARK|15365
10305+ISLAND+SEAVIEW+STATEN|7988
05+11040+76TH+NEW|4154
NEW+NY+STE+YORK|3502
101+ANDREWS+COVE+GLEN|2094
10075+77TH+E+NY|9171
270+AVE+HYDE+PARK|4259
10075+77TH+E+ST|9166
301+E+MAIN+SHORE|4861
301+BAY+NY+SHORE|4869
11040+27005+AVE+NY|7853
E+NY+ST+YORK|17900
COUNTRY+NY+OLD+PLAINVIEW|3404
11004+GLEN+NY+OAKS|2609
11706+E+MAIN+NY|6129
400+E+KISCO+MOUNT|2082
11706+E+MAIN+ST|6127
475+ISLAND+NY+STATEN|7188
HYDE+NEW+NORTH+PARK|5405
10549+400+MAIN+NY|2325
300+COMMUNITY+DR+NY|12568
10549+400+MAIN+ST|2325
05+11040+AVE+PARK|4180
10087+5051+NEW+YORK|3740
11580+900+STREAM+VALLEY|3054
AVE+FRANKLIN+NY+STREAM|3119
NY+OLD+PLAINVIEW+RD|3405
HYDE+NY+PARK+RD|3389
11040+26901+AVE+NEW|2813
05+11040+HYDE+NEW|4206
AVE+MARCUS+NY+PARK|4684
5051+NEW+NY+POBOX|4024
10075+E+NEW+YORK|9687
11021+BLVD+NECK+NORTHERN|3317
101+COVE+LN+NY|2457
475+NY+SEAVIEW+STATEN|7181
11803+COUNTRY+NY+OLD|3406
11743+270+AVE+NY|4246
270+AVE+HUNTINGTON+NY|4251
10591+BROADWAY+HOLLOW+N|2765
11042+NEW+PARK+RD|2876
10087+5051+NY+POBOX|3740
11040+27005+NY+PARK|7853
10305+ISLAND+NY+SEAVIEW|7987
11004+263RD+NY+ST|2319
263RD+GLEN+OAKS+ST|2330
100+77TH+E+YORK|8385
11803+OLD+PLAINVIEW+RD|3405
100+10075+E+NEW|8217
HYDE+NORTH+NY+PARK|5405
11375+66TH+NY+RD|3210
10591+BROADWAY+HOLLOW+NY|2765
27005+AVE+HYDE+PARK|7854
NEW+NY+POBOX+YORK|4210
NEW+NORTH+NY+PARK|5405
100+10075+ST+YORK|8211
200+COMMUNITY+DR+NY|2297
AVE+HYDE+NEW+NORTH|3293
11042+LAKEVILLE+NEW+NY|2616
11040+76TH+NY+PARK|15325
11042+LAKEVILLE+NEW+RD|2614
10305+ISLAND+NY+STATEN|9715
11706+301+NY+SHORE|4861
10305+AVE+ISLAND+STATEN|9179
11040+26901+NEW+NY|2814
11030+COMMUNITY+DR+MANHASSET|15263
10021+E+NY+YORK|2399
11580+AVE+FRANKLIN+VALLEY|3114
10549+400+KISCO+NY|2326
11040+27005+AVE+PARK|7853
10549+400+KISCO+ST|2325
11042+HYDE+NORTH+PARK|5399
11042+HYDE+NY+RD|2879
10549+400+NY+ST|2325
11542+ANDREWS+LN+NY|2083
E+KISCO+NY+ST|2291
10075+77TH+NEW+NY|9169
11042+HYDE+NORTH+NY|5399
10075+77TH+NEW+ST|9164
11040+27005+HYDE+NEW|7853
11030+300+COMMUNITY+DR|12547
301+BAY+MAIN+SHORE|4866
11030+300+COMMUNITY+NY|12552
11040+27005+76TH+NEW|7852
10305+475+ISLAND+SEAVIEW|7150
05+76TH+NY+PARK|4204
11042+HYDE+MARCUS+NY|4575
AVE+NEW+NORTH+NY|3293
100+10075+NY+ST|8217
11020+200+COMMUNITY+DR|2149
AVE+NORTH+NY+PARK|3359
10591+BROADWAY+N+NY|2855
11020+200+COMMUNITY+NY|2149
11040+27005+76TH+PARK|7852
05+76TH+NEW+PARK|4203
05+11040+76TH+AVE|4133
66TH+FOREST+NY+RD|3213
AVE+ISLAND+SEAVIEW+STATEN|8023
475+ISLAND+SEAVIEW+STATEN|7182
263RD+GLEN+NY+OAKS|2336
26901+76TH+HYDE+PARK|2813
270+76TH+AVE+NEW|4201
11040+76TH+AVE+HYDE|15296
10065+E+NY+YORK|2501
AVE+MARCUS+NORTH+NY|3293
11803+888+OLD+PLAINVIEW|2683
900+AVE+NY+STREAM|3057
11580+900+AVE+STREAM|3054
E+NY+SHORE+ST|5608
11040+270+NY+PARK|4232
11743+270+NY+PARK|4245
10549+KISCO+MAIN+NY|2490
NY+ST+W+YORK|2583
10549+KISCO+MAIN+ST|2490
COVE+GLEN+LN+NY|2466
11706+301+BAY+SHORE|4861
10075+NEW+NY+YORK|9921
100+10075+77TH+NY|7993
100+10075+77TH+ST|7988
MARCUS+NEW+NY+PARK|4689
11803+888+NY+OLD|2684
5051+NY+POBOX+YORK|4024
11042+NEW+NY+RD|2879
301+BAY+E+MAIN|4861
888+COUNTRY+PLAINVIEW+RD|2681
11040+26901+76TH+NY|2814
11040+27005+HYDE+NY|7853
701+BROADWAY+N+SLEEPY|2121
HYDE+MARCUS+NEW+NORTH|3293
11706+BAY+E+SHORE|5603
10591+701+N+NY|2224
10305+475+SEAVIEW+STATEN|7150
BAY+MAIN+NY+ST|5659
11706+BAY+MAIN+SHORE|5617
301+MAIN+NY+SHORE|4866
GLEN+NY+OAKS+ST|2357
900+AVE+FRANKLIN+STREAM|3054
301+BAY+E+NY|4864
MAIN+MOUNT+NY+ST|2291
11040+HYDE+NEW+PARK|16289
301+BAY+E+ST|4863
11803+COUNTRY+PLAINVIEW+RD|3404
11040+76TH+HYDE+NY|15326
11743+270+AVE+PARK|4244
10591+701+BROADWAY+NY|2211
10021+E+NEW+NY|2399
10021+E+NEW+ST|2386
BAY+E+SHORE+ST|5608
11040+27005+NEW+NY|7853
05+11040+270+NEW|4204
05+11040+NEW+PARK|4206
11706+BAY+NY+ST|5621
05+11040+270+PARK|4202
11040+270+HYDE+NY|4231
10549+400+KISCO+MAIN|2325
11040+AVE+HYDE+NEW|15553
05+270+AVE+NEW|4234
11040+76TH+HYDE+PARK|15324
10075+NEW+NY+ST|9686
HYDE+NEW+NY+RD|3391
10305+NY+SEAVIEW+STATEN|7987
05+76TH+HYDE+NY|4203
11020+COMMUNITY+DR+NY|2152
COMMUNITY+DR+GREAT+NECK|2371
11040+27005+76TH+AVE|7852
COMMUNITY+DR+GREAT+NY|2371
77TH+E+NY+ST|9671
10591+BROADWAY+NY+SLEEPY|2709
BLVD+GREAT+NECK+NY|3361
11542+GLEN+LN+NY|2458
HYDE+LAKEVILLE+NY+RD|3054
COUNTRY+NY+OLD+RD|3788
11042+AVE+MARCUS+NEW|4571
11040+26901+76TH+NEW|2814
HYDE+MARCUS+NORTH+NY|3293
11743+HUNTINGTON+NY+PARK|4405
101+11542+LN+NY|2450
11030+DR+MANHASSET+NY|15286
301+E+NY+ST|5431
11901+NY+RIVERHEAD+ROANOKE|2073
100+10075+NEW+YORK|8218
11030+300+MANHASSET+NY|12590
11040+270+76TH+PARK|4169
COUNTRY+NY+PLAINVIEW+RD|3404
888+COUNTRY+NY+OLD|2683
10021+NY+ST+YORK|2406
11580+900+AVE+FRANKLIN|3051
10065+E+NEW+NY|2501
10065+E+NEW+ST|2494
10075+E+ST+YORK|9679
11040+26901+AVE+PARK|2813
10016+NEW+NY+YORK|2526
KISCO+MOUNT+NY+ST|2291
05+AVE+NEW+NY|4238
11791+221+JERICHO+NY|2315
400+KISCO+NY+ST|2328
10087+5051+NY+YORK|3740
AVE+MARCUS+NORTH+PARK|3293
11040+26901+HYDE+NEW|2814
400+E+KISCO+NY|2236
05+76TH+AVE+NY|4191
400+E+KISCO+ST|2236
10087+5051+POBOX+YORK|3740
100+10075+E+NY|8222
101+11542+GLEN+LN|2450
100+10075+E+ST|8215
101+11542+GLEN+NY|2462
10075+77TH+NEW+YORK|9168
11542+ANDREWS+COVE+GLEN|2088
11375+66TH+HILLS+NY|3215
05+AVE+HYDE+NEW|4231
11375+66TH+HILLS+RD|3209
11542+ANDREWS+COVE+LN|2083
E+KISCO+MOUNT+NY|2133
11542+ANDREWS+COVE+NY|2088
E+KISCO+MOUNT+ST|2132
26901+76TH+AVE+PARK|2813
10591+701+HOLLOW+NY|2174
AVE+MARCUS+NEW+NORTH|3293
11706+MAIN+NY+SHORE|5617
AVE+HYDE+NORTH+NY|3293
NEW+NY+ST+YORK|21155
26901+76TH+HYDE+NEW|2814
05+76TH+AVE+HYDE|4176
11791+221+NY+SYOSSET|2317
11042+MARCUS+NEW+NORTH|3293
475+AVE+ISLAND+SEAVIEW|7174
100+77TH+NY+YORK|8388
11040+27005+NEW+PARK|7853
10549+400+E+NY|2233
11040+270+AVE+PARK|4206
11706+BAY+MAIN+NY|5617
10549+400+E+ST|2233
10549+MAIN+NY+ST|2493
11042+LAKEVILLE+NY+RD|3007
11706+BAY+MAIN+ST|5616
AVE+HYDE+MARCUS+NORTH|3293
11042+MARCUS+NORTH+NY|3293
E+NEW+NY+YORK|18249
05+270+76TH+NY|4214
10549+MAIN+MOUNT+NY|2288
10549+MAIN+MOUNT+ST|2288
100+E+NY+YORK|8634
05+11040+270+AVE|4183
11706+301+NY+ST|5288
11040+270+HYDE+NEW|4231
11040+270+76TH+NEW|4171
BLVD+NECK+NORTHERN+NY|3361
BROADWAY+N+NY+SLEEPY|2712
100+NY+ST+YORK|8631
10591+BROADWAY+HOLLOW+SLEEPY|2706
27005+76TH+NY+PARK|7853
HYDE+MARCUS+NORTH+PARK|3293
11040+HYDE+NY+PARK|16289
BROADWAY+HOLLOW+N+NY|2770
05+270+AVE+NY|4243
11040+AVE+HYDE+PARK|15548
BLVD+NORTHERN+NY+STE|2055
10549+KISCO+NY+ST|2491
270+76TH+AVE+NY|4210
10065+NY+ST+YORK|2500
11040+26901+76TH+AVE|2813
11021+BLVD+NECK+NY|3327
MARCUS+NEW+NORTH+PARK|3293
05+HYDE+NEW+PARK|4258
11803+888+PLAINVIEW+RD|2683
05+270+76TH+NEW|4205
100+77TH+E+NEW|8386
270+76TH+HYDE+PARK|4220
11542+COVE+LN+NY|2458
11040+27005+HYDE+PARK|7853
05+11040+AVE+NEW|4182
11030+300+DR+MANHASSET|12552
11042+AVE+MARCUS+NY|5296
11743+AVE+HUNTINGTON+NY|4506
10087+NEW+NY+POBOX|3781
301+BAY+E+SHORE|4864
AVE+HYDE+MARCUS+NEW|4683
900+AVE+STREAM+VALLEY|3055
475+AVE+SEAVIEW+STATEN|7174
10087+NEW+NY+YORK|3781
AVE+ISLAND+NY+SEAVIEW|8022
05+270+AVE+PARK|4229
101+11542+COVE+GLEN|2462
11743+AVE+HUNTINGTON+PARK|4403
10075+77TH+E+YORK|9164
11706+NY+SHORE+ST|5621
05+270+HYDE+NEW|4255
66TH+FOREST+HILLS+NY|3220
66TH+FOREST+HILLS+RD|3213
11580+FRANKLIN+STREAM+VALLEY|3115
11580+FRANKLIN+NY+STREAM|3117
400+E+KISCO+MAIN|2236
11580+AVE+STREAM+VALLEY|3216
E+MAIN+SHORE+ST|5605
BLVD+GREAT+NECK+NORTHERN|3350
100+77TH+NY+ST|8389
11042+AVE+NORTH+NY|3293
11706+MAIN+NY+ST|6148
66TH+HILLS+NY+RD|3213
270+76TH+HYDE+NEW|4221
11743+270+HUNTINGTON+NY|4246
100+NEW+ST+YORK|8631
11706+E+MAIN+SHORE|5597
11706+BAY+NY+SHORE|6093
11706+BAY+E+NY|5603
27005+76TH+HYDE+NY|7853
101+ANDREWS+GLEN+LN|2089
11706+BAY+E+ST|5599
101+ANDREWS+GLEN+NY|2094
HYDE+NEW+NY+PARK|26455
05+HYDE+NY+PARK|4258
