# Value|Alternate Value
AND|&
OPERATION|OPERATIONS
BYTE|BYTES
THERAPY|THERAPIES
DESIGN|DESIGNED
DESIGN|DESIGNER
UNIVERSITY|UNIVERSIT
SOLUTIONS|SOLUTION
TELECOMMUNICATION|TELECOMM
KONF|KONFERENZ
SPECT|SPECTROSCOPY
ISL|ISLAND
OPTIQUE|OPTIC
DATENTECHNIK|DATENNETZE
SENG|CHENG
CHIP|CHIPS
CHIROPRATIC|CHIRO
HORIZON|HORIZONS
GARDEN|GARDENING
BETEILIGUNGS|BETEILIGUNGSGES
APPLICATION|APPLICATIONS
FRISEUR|FRISIERSALON
MILLENNIUM|MILLENIUM
ORTHODONTIC|ORTHO
OPTIQUE|OPTICIEN
INDEPENDENT|INDEPENDANT
PROVIDER|PROVIDERS
OSPEDALE|OSPED
RECRUITING|RECRUITERS
EMPLOYEE|EMPLOYED
CLAIMS|CLAIM
PAPERS|PAPER
AMER|AMERICA
COMPONENT|COMPONENTS
DELIGHT|DELIGHTS
TRANSPORTE|TRANSPORTGESELLSCHAFT
NACL|NACIONAL
SW|SOUTHWEST
ALIMENTOS|ALIMENTICIOS
OWNERS|OWNER
MUSIKVEREIN|MUSIKANTEN
COMPANY|COMPA
CONSTRUCTION|CONST
CONSULTING|CONSU
CONTRACTING|CONTR
CORPORATION|CORPO
CORPORATION|CORPS
UNIVERSITY|UNIVERSI
PHARM|PHARMACY
CHIRURG|CHIRURGIE
WOODWORK|WOODWORKS
ENTERPRISES|INTERPRISES
PETROLEUM|PETRO
INGENIEUR|INGENIERIA
INGENIEUR|INGENIERIE
INGENIEUR|INGENIEROS
INGENIEUR|INGENIEURE
INGENIEUR|INGENIEURS
HAUSMEISTERSERVICE|HAUSMEISTERDIENST
AGCY|AGENCY
AGENCY|AGENTS
ENGINEERING|ENGINEERIN
EXTREME|XTREME
ARCHITECT|ARCHITECTURAL
DECORATOR|D?COR
RESTAURANT|RISTORANTE
RES|RESEARCH
PRODUCTION|PRODUCERS
PHILLIPPINES|PHILS
HUSB|HUSBANDRY
ASSOCIATES|ASSOICATES
IMMOBILIEN|IMMOBILIERES
VERSICHERUNGEN|VERSICHERUNGS
ALTERNATIVE|ALTERNATE
CONTRACTING|CONTRACTOR
BOOSTER|BOOSTERS
STN|STATION
DATENTECHNIK|DATEN
HAUSMEISTERSERVICE|HAUSMEISTER
BICYCLE|BICYCLES
DETAIL|DETAILING
BETEILIGUNGS|BETEILIGUNG
AF|AIRFORCE
SEAFOODS|SEAFOOD
POB|POSTOFFICEBOX
ASSET|ASSETS
ASSISTANCE|ASSIST
ASSOCIATES|ASSOCI
ASSOCIATES|ASSOCS
TRANSPORTE|TRANSPORTUNTERNEHMEN
ST|STREET
PL|PLACE
CULTURE|CULTURAL
PSYCHOL|PSYCHOLOGY
IST|ISTITUTO
CRUISE|CRUISES
DESIGN|DESIG
ENHANCE|ENHANCED
ORTHODONTIC|ORTHODONTICS
CYCLES|CYCLE
ASSOCIATES|ASSOCIATE
ASSOCIATES|ASSOCIATI
ASSOCIES|ASSOCIEES
PARTNERS|PARTNERSHIP
BASKET|BASKETS
APPRAISAL|APPRAISALS
APPRAISAL|APPRAISERS
DEUTSCH|DEUTSCH
AEROSP|AEROSPACE
THERAPEUTIC|THERAPEUTICS
CONSULTING|CONSULTANT
IMMOBILIEN|IMMOBILIENVERWALTUNGS
CONSULTING|CONSULTING
ADV|ADVANCED
ADVANCE|ADVANCED
AUGENHEILKUNDE|AUGENOPTIK
STAHL|STAHLHANDEL
PEDIAT|PEDIATRICS
PEDIATRIC|PEDIATRICS
SHOP|SHOPPE
DISTRIBUTION|DISTR
DIRECTION|DIRECTIONS
FRISEUR|FRISIERSTUBE
MUNICIPAL|MUNICIPALIDAD
PRINTS|PRINT
PORTRAIT|PORTRAITS
BOTANICAL|BOTANICALS
TECHNICAL|TECHNIQUES
SKATE|SKATING
VERSICHERUNGEN|VERSICHERUNGSMAKLER
ELECTRIC|ELECTRICAL
BERATUNG|BERATUNGEN
OUTSOURCE|OUTSOURCING
DEVELOPMENT|DEVELOP
PHOTOGRAPHY|PHOTOS
AFB|AIRFORCEBASE
PROFESSIONAL|PROFESIONAL
COUNSELING|COUNSEL
SOFTWARE|SOFTWARELSUNGEN
HANDEL|HANDELS
WISSENSCH|WISSENSCHAFT
NETWORKING|NETWORK
ASSOCIATES|ASSOCIA
ASSOCIES|ASSOCIE
SPECIALTY|SPECIALITY
TERR|TERRITORY
BAUGESCHFT|BAUGESELLSCHAFT
UTILITY|UTILITIES
ENTERPRISES|ENTERPRIZES
DOLL|DOLLS
DOOR|DOORS
NEWS|NEWSPAPERS
DEVELOPMENT|DEVELOPME
FAK|FAKULTY
ORTSVERBAND|ORTSVEREIN
TEXTILES|TEXTILHANDEL
QUILT|QUILTS
CARPENTRY|CARPENTERS
NAT|NATURAL
ELECT|ELECTRONIC
ELECTRICAL|ELECTRONIC
DREAMS|DREAM
DR|DRIVE
INC|INCORPORATED
INCORPORATION|INCORPORATED
FRISEUR|FRISEURTEAM
GRAPHICS|GRAPHIC
GRUNDSTCKS|GRUNDSTCKSVERWALTUNG
PICTURE|PICTURES
CHIM|CHIMIE
ACOUSTIC|ACOUSTICAL
AFFILIATE|AFFILIATES
TICKET|TICKETS
WERBEAGENTUR|WERBEGEMEINSCHAFT
SOFTWARE|SOFTWAREVERTRIEB
SUPPLIES|SUPPLY
DIABET|DIABETES
TECHNOLOGY|TECHNOL
UNIVERSITY|UNIVERISTY
BIOL|BIOLOGIST
AUCTION|AUCTIONS
ENTERPRISES|ENTERPRISESINC
STEUERBERATER|STEUERBERATERIN
PLUMBERS|PLUMBING
INDUSTRY|INDUSTRIAL
INDUSTRIELLE|INDUSTRIEL
INDUSTRY|INDUSTRIES
INSTITUTE|INSTITUTES
ECONOMICS|ECONO
DIENSTLEISTUNGEN|DIENSTLEIST
METALLBAU|METALLERIE
DIENSTLEISTUNGEN|DIENSTEN
SUPER|SUPERIOR
FURNISHING|FURNITURE
CONTRACTING|CONTRACTORS
COLLECTION|COLLECTORS
MUNICIPAL|MUNICIPIO
ELEKTRO|ELEKTROANLAGEN
INSTRUMENT|INSTRUMENTS
WINDOWS|WINDOW
INSPECTIONS|INSPECTION
COUNSELING|COUNSELORS
INSPECTIONS|INSPECTORS
RESTORATIONS|RESTORATION
CLINIC|CLINICS
ASSOCIATES|ASOCIACION
DIENSTLEISTUNGEN|DIENSTLEISTUNGSSERVICE
PETR|PETROLEUM
TREATMENTS|TREATMENT
CIENT|CIENTIFICAS
US|UNITEDSTATES
LBR|LUMBER
MED|MEDICINE
WAREHOUSING|WAREHOUSE
SYNTH|SYNTHESIS
AGRAR|AGRARGENOSSENSCHAFT
VERTRIEBS|VERTRIEB
WERBEAGENTUR|WERBEGESELLSCHAFT
FDN|FOUNDATION
FOUNDATIONS|FOUNDATION
VACATION|VACATIONS
GUIDE|GUIDES
VASC|VASCULAR
ANSWER|ANSWERS
STRUCT|STRUCTURE
UNIVERSITY|UNIVERSITAIRE
UNIVERSITY|UNIVERSITARIA
REISEBRO|REISEDIENST
JR|JUNIOR
ADJUST|ADJUSTMENT
8|EIGHT
LEGEND|LEGENDS
ARTISTIC|ARTISTS
PROF|PROFESIONALES
IMPORT|IMPORTS
VERMITTLUNG|VERMITTLUNGSGESELLSCHAFT
VISIONS|VISION
REALTY|REALTOR
TUD|TUDOMANYOS
MATH|MATHEMATICS
KOMMUNIKATION|KOMMUNIKATIONS
GRUNDSTCKS|GRUNDSTCKSVERWAL
ELECTRIC|ELECT
ELECTRICAL|ELECT
VERLAG|VERLAGS
UNIVERSITY|UNIVERSITA
UNIVERSITY|UNIVERSITE
UNIVERSITY|UNIVERSITI
UNIVERSITY|UNIVERSTIY
UNIVERSITY|UNIVERSITETET
ESTAB|ESTABLISHMENT
GEN|GENERAL
PLUMBERS|PLUMMING
MIN|MINING
MAT|MATERIAL
MANAGEMENT|MANGEMENT
DIENSTLEISTUNGEN|DIENST
SOC|SOCIETY
REHABILITATION|REHAB
JIMS|JIMMYS
FASHION|FASHIONS
EDUC|EDUCATION
COMPARATIVE|COMPARAT
EQUIPMENT|EQUIP
CIGAR|CIGARS
FUND|FUNDING
ANAL|ANALYSIS
ANALYSIS|ANALYSTS
ENTERPRISES|ENTERPRIS
APPARAT|APPARATUS
ALUMINIUM|ALUMINIOS
ALUMINUM|ALUMINIUM
MAINTENANCE|MAINTENENCE
STEUERBERATER|STEUERBERATUNGS
PROGRAM|PROGRAMS
UNIVERSITY|UNIVERZITA
ESTABLISSEMENT|ESTAB
MR|MISTER
MUNICIPAL|MUNICIPALITE
MUNICIPAL|MUNICIPALITY
TRAVEL|TRAVELERS
NAZL|NAZIONALE
TRAVEL|TRAVELING
TEXTILES|TEXTILEINZELHANDEL
FARMING|FARMS
PULM|PULMONARY
CONTROL|CONTROLLED
BUR|BUREAU
CUSTOMIZED|CUSTOM
FINISHES|FINISH
TEL|TELEPHONE
INVEST|INVESTIGATION
VERSICHERUNGEN|VERSICHERUNGSVERTRETER
ELEKT|ELEKTRISCHE
FACILITY|FCLTY
HOP|HOPITAL
LIFESTYLE|LIFESTYLES
CLOTHIER|CLOTHIERS
EVENT|EVENTS
FENCING|FENCE
SPRINKLERS|SPRINKLER
CORPORATION|CORPORAT
BIBLIOG|BIBLIOGRAPHIES
ENVIRONMENT|ENVIRONMENTS
FIS|FISICA
ANALYSIS|ANALYTICS
FINANCIAL|FINANCE
EGYET|EGYETEM
TEXTILES|TEXTILHANDELSGESELLSCHAFT
PHYSIOL|PHYSIOLOGY
BUYER|BUYERS
TB|TUBERCULOSIS
STRUCTURE|STRUCTURES
AVE|AVENUE
NURSERY|NURSERIES
FILM|FILMS
ELEKTRO|ELEKTROINSTALLATION
GRUNDSTCKS|GRUNDSTCKSVERWALTUNGSGES
BETEILIGUNGS|BETEILIGUNGEN
MAINTENANCE|MAINTAINANCE
WALLCOVERING|WALLPAPER
RENOVATION|RENOVATIONS
ENVIRONM|ENVIRONMENT
DIENSTLEISTUNGEN|DIENSTLEISTUNG
CO|COMPANIES
COMPANY|COMPANIES
THEATER|THEATRE
ORTHOPAEDIC|ORTHOPAEDICS
VET|VETERINARY
ST|SAINT
SANITARY|SANIT
DIRECTION|DIRECTIONAL
CONDITION|CONDITIO
MUSIKVEREIN|MUSIKINSTRUMENTE
VERTRIEBS|VERTRIEBSBRO
VERTRIEBS|VERTRIEBSGES
ENTERPRISES|ENTERPRISE
ENTERPRISES|ENTERPRIZE
METAB|METABOLIC
SCHOOL|SCHOO
HEILPRAKTIKERIN|HEILPRAKTIKER
NUKL|NUKLEAR
7|SEVEN
DEVELOPMENT|DEVELOPERS
DEVELOPMENT|DEVELOPING
DEVELOPMENT|DEVELOPMEN
KOMMUNIKATION|KOMMUNIKATIONSSYSTEME
HANDELSVERTRETUNG|HANDELSVERTRETER
INDUSTRIELLE|INDUSTRIELLES
GESELL|GESELLSCHAFT
MORTGAGE|MORTGAGES
EQUIPMENT|EQUIPEMENTS
BUILDING|BUILDINGS
EEG|ELECTROENCEPHALOGRAPHIC
SHOP|SHOPS
HEIZUNG|HEIZUNGS
MOL|MOLEKULAR
HISTORIC|HISTORICAL
NEWS|NEWSPAPER
FUND|FUNDS
CRAFTERS|CRAFTSMEN
PROPERTY|PROPERTIES
RECYCLERS|RECYCLING
TH|TECHNICALHIGHSCHOOL
EQUIPMENT|EQUIPAMENTO
MALERBETRIEB|MALEREIBETRIEB
AWARD|AWARDS
HANDELSVERTRETUNG|HANDELSVERTRETUNGEN
CIE|CO
CO|CO
COMP|CO
COMPAGNIE|CO
ONT|ON
ONTARIO|ON
QB|QC
QE|QC
QU|QC
QUE|QC
ET|AND
CA|CAN
CAN|CAN
CANADA|CAN
CDA|CAN
GOVERNMENT|GOV
IN|INC
INC|INC
LTD|LTD
LTE|LTD
LTEE|LTD
QC|QUE
QUEBEC|QUE
COVERINGS|COVERING
DYNAMICS|DYNAMIC
PLASTICS|PLASTIC
WHOLESALERS|WHOLESALE
COMPONENTS|COMPONENT
INSIGHTS|INSIGHT
PROGRAMS|PROGRAM
PROJECTS|PROJECT
EXPERTS|EXPERT
EXPORTS|EXPORT
ELECTRICAL|ELECTRIC
ASSOCIATION|ASSN
GEST|MGMT
GESTION|MGMT
STUDIOS|STUDIO
TEXTILE|TEXTILES
REHAB|REHABILITATION
